1205,"Mahatma Gandhi Missions College Of Engineering & Technology, Noida",246,12051001,12051246,Uttar Pradesh
1056,"Malla Reddy College Of Engineering & Technology, Maisammaguda",286,10561001,10561286,Andhra Pradesh
1279,"Mandsaur Institute Of Technology, Mandsaur",246,12791001,12791246,Madhya Pradesh
1272,"Mangalayatan University, Beswan",246,12721001,12721246,Uttar Pradesh
1033,"Manipal Institute Of Technology, Manipal",246,10331001,10331246,Karnataka
1055,"Mar Baselios College Of Engineering & Technology, Nalanchira",246,10551001,10551246,Kerala
1098,"Marathwada Institute Of Technology, Aurangabad",246,10981001,10981246,Maharashtra
1198,"Mata Raj Kaur Institute Of Engineering & Technology, Rewari",246,11981001,11981246,Haryana
1001,"Maulana Azad National Institute Of Technology, Bhopal",246,10011001,10011246,Madhya Pradesh
1099,"Medi-caps Institute Of Technology & Management, Pigdamber",246,10991001,10991246,Madhya Pradesh
1234,"Meghnad Saha Institute Of Technology, Uchhepota",246,12341001,12341246,West Bengal
1013,"Mepco Schlenk Engineering College, Sivakasi",246,10131001,10131246,Tamil Nadu
1100,"Mes Pillai`S Institute Of Information Technology, New Panvel",246,11001001,11001246,Maharashtra
1261,MET Institute Of Engineering Nashik,184,12611001,12611184,Maharashtra
1237,"Mewar University, Gangrar",44,12371001,12371044,Rajasthan
1192,MGM s College Of Engineering,184,11921001,11921184,Maharashtra
1101,"Mksss Cummins College Of Engineering, Karvenagar",246,11011001,11011246,Maharashtra
1239,Mohandas College Of Engineering Technology,184,12391001,12391184,Kerala
1102,"Mother Teresa Institute Of Science & Technology, Sathupally",286,11021001,11021286,Andhra Pradesh
1330,Motilal Nehru National Institute of Technology,150,13301001,13301150,Uttar Pradesh
1255,"Mount Zion College Of Engineering & Technology, Lena Vilakku",246,12551001,12551246,Tamil Nadu
1032,"Muffakham Jah College Of Engineering & Technology, Hyderabad",286,10321001,10321286,Andhra Pradesh
1319,Mukesh Patel School Of Technology Management Engg,184,13191001,13191184,Maharashtra
1259,"N.D.M.V.P. Samajâ€™s K.B.T. College Of Engineering, Nashik",246,12591001,12591246,Maharashtra
1221,"N.P.R. College Of Engineering & Technology, Natham",286,12211001,12211286,Tamil Nadu
1296,Nagole Institute Of Technology Science,184,12961001,12961184,Andhra Pradesh
1252,"Narayana Engineering College, Nellore",246,12521001,12521246,Andhra Pradesh
1054,"National College Of Engineering, Muruthakulam",286,10541001,10541286,Tamil Nadu
1243,"National Institute Of Science & Technology, Berhampur",246,12431001,12431246,Orissa
8010,National Institute of Technical Teachers Training and Research Bhopal,251,80101001,80101251,Madhya Pradesh
8012,National Institute of Technical Teachers Training and Research Chennai,250,80121001,80121250,Andhra Pradesh
8011,National Institute of Technical Teachers Training and Research Kolkata,250,80111001,80111250,West Bengal
1184,National Institute Of Technology,184,11841001,11841184,Assam
1133,"National Institute Of Technology, Agartala",246,11331001,11331246,Tripura
1004,"National Institute Of Technology, Calicut",246,10041001,10041246,Kerala
1134,"National Institute Of Technology, Kurukshetra",246,11341001,11341246,Haryana
1006,"National Institute Of Technology, Tiruchirappalli",246,10061001,10061246,Tamil Nadu
1025,"National Institute Of Technology, Warangal",286,10251001,10251286,Andhra Pradesh
1021,"Nerist, Nirjuli",44,10211001,10211044,Arunachal Pradesh
1266,"Netaji Subhash Engineering College, Technocity, Garia",246,12661001,12661246,West Bengal
